,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
DIR + ROC - 17,0.8038,0.6447,0.1117,0.2068,0.1428,0.1074,0.3163,0.8049,0.8033,0.635,0.3163,0.0177,0.1428,2415.0,8490.0,1701.0,961.0,1958.0,5440.0,906.0,906.0,457.0,3050.0,795.0,55.0,0.6837,0.5181,0.311,0.2874,0.928
DIR + GFC - 3,0.8185,0.4921,0.1811,0.0005,0.0533,0.9739,0.5817,0.891,0.7827,0.1333,0.2206,0.1089,0.2167,1193.0,9911.0,336.0,2127.0,1180.0,5933.0,334.0,1641.0,13.0,3978.0,2.0,486.0,0.5444,0.0506,0.1666,0.0033,0.9756
DIR + GFC - 11,0.282,0.0936,0.2849,0.9181,0.52,0.6316,0.8907,0.115,0.3633,0.9502,0.9119,0.5015,0.4602,503.0,3323.0,6859.0,2882.0,314.0,3001.0,3251.0,2558.0,189.0,322.0,3608.0,324.0,0.0976,0.0877,0.3907,0.8546,0.9709
DIR + GFC - 17,0.716,0.6005,0.0908,0.0817,0.482,0.3613,0.103,0.8855,0.6358,0.4899,0.5435,0.0498,0.0824,2896.0,6818.0,3373.0,480.0,2569.0,3287.0,3059.0,295.0,327.0,3531.0,314.0,185.0,0.605,0.5672,0.6111,0.1471,0.9695
DIR + GFC + EOP - 3,0.7956,0.4512,0.193,0.0889,0.0381,0.4208,0.6983,0.8741,0.7569,0.5505,0.2193,0.0547,0.2463,1140.0,9654.0,593.0,2180.0,851.0,6028.0,239.0,1970.0,289.0,3626.0,354.0,210.0,0.4352,0.5061,0.1199,0.1436,0.9429
DIR + GFC + EOP - 11,0.5011,0.3345,0.1918,0.4992,0.4994,0.4932,0.4983,0.5015,0.501,0.883,0.6842,0.1139,0.3137,1701.0,5098.0,5084.0,1684.0,1441.0,3130.0,3122.0,1431.0,260.0,1968.0,1962.0,253.0,0.3876,0.1901,0.5001,0.5001,0.5961
DIR + GFC + EOP - 17,0.7268,0.5441,0.1391,0.0918,0.3451,0.3594,0.3422,0.8768,0.6558,0.5184,0.5376,0.0501,0.1908,2212.0,7648.0,2543.0,1164.0,1884.0,4156.0,2190.0,980.0,328.0,3492.0,353.0,184.0,0.5431,0.5499,0.4423,0.1563,0.8427
DIR + GFC + CEOP - 3,0.8183,0.4921,0.1811,0.0,0.0541,1.0,0.5767,0.8886,0.7837,0.0,0.2211,0.1114,0.2154,1194.0,9908.0,339.0,2126.0,1194.0,5928.0,339.0,1627.0,0.0,3980.0,0.0,499.0,0.5485,0.0,0.1687,0.0,0.9753
DIR + GFC + CEOP - 11,0.2813,0.0939,0.2846,0.9183,0.5216,0.6316,0.89,0.1148,0.3625,0.9502,0.9117,0.5023,0.4608,505.0,3312.0,6870.0,2880.0,316.0,2991.0,3261.0,2556.0,189.0,321.0,3609.0,324.0,0.098,0.0877,0.392,0.8548,0.9708
DIR + GFC + CEOP - 17,0.7148,0.5705,0.1145,0.0,0.4827,1.0,0.1027,0.8825,0.6355,0.0,0.5438,0.1175,0.0822,2570.0,7128.0,3063.0,806.0,2570.0,3283.0,3063.0,294.0,0.0,3845.0,0.0,512.0,0.6049,0.0,0.6116,0.0,0.9677
