,Accuracy,F1 Score,Theil Index,Consistency,FPR Diff,FNR Diff,Accuracy Diff,FOR Diff,FDR Diff,Statistical Parity Diff,F1 Score Diff
OP + GFC + CEOP,0.6533222222222222,0.5735111112222223,0.18053333322222218,0.9911111111111112,0.04267777788888886,0.12066666666666666,0.15904444466666673,0.11244444466666666,0.2279000001111111,0.06804444433333327,0.23522222222222222
OP + GFC + ROC,0.6603777777777778,0.5625333332222222,0.18999999988888885,0.9918666666666667,0.006855555555555459,0.02327777777777777,0.1427777778888889,0.08543333333333332,0.21568888877777778,0.026211110888888903,0.13785555544444453
OP + PR + EOP,0.6572333334444445,0.5804999998888888,0.2511,0.820111111,0.023777777888888924,0.025499999999999984,0.09959999977777782,0.1368444444444444,0.2508333333333333,0.030966666888888873,0.12408888900000002
OP + PR + CEOP,0.7155777777777779,0.6595333334444445,0.15284444455555554,0.9733888890000001,0.08722222222222227,0.07773333322222219,0.12084444444444448,0.14078888888888885,0.21638888900000006,0.10542222233333336,0.1580333333333333
OP + PR + ROC,0.6525444443333334,0.6216555555555555,0.25627777766666665,0.9471222221111111,0.025055555444444433,0.04986666677777779,0.02687777800000002,0.1782666666666667,0.21648888900000005,0.04389999977777781,0.13439999977777778
OP + EGR + EOP,0.6812444444444444,0.6122555556666666,0.22028888877777777,0.8752333332222223,0.011255555333333356,0.020111111222222266,0.10433333322222225,0.20496666666666666,0.24816666666666667,0.039433333555555575,0.12864444444444442
OP + EGR + CEOP,0.7177777778888889,0.6331111111111111,0.17065555566666665,0.9619444443333333,0.06529999988888893,0.13614444433333336,0.14408888911111112,0.10798888900000003,0.21718888877777784,0.0959777776666667,0.23992222233333327
OP + EGR + ROC,0.7124444445555556,0.6495111109999999,0.1592333332222222,0.9816666667777779,0.0399888888888888,0.04468888911111116,0.12395555577777778,0.22144444444444447,0.2342222223333333,0.023522222,0.10465555577777774
OP + GSR + EOP,0.662011111,0.5737222222222221,0.25233333322222223,0.8336888888888888,0.0456888888888889,0.031888888888888856,0.10700000011111116,0.13341111111111112,0.2599888888888889,0.026044444555555605,0.12206666666666666
OP + GSR + CEOP,0.717211111,0.6678000001111112,0.14696666655555554,0.9739666667777778,0.08732222222222226,0.08752222199999998,0.13175555566666666,0.1460666666666666,0.20804444433333336,0.10467777777777777,0.16346666677777774
OP + GSR + ROC,0.6231222223333334,0.5732111111111111,0.31215555566666664,0.9633999998888889,0.037022222333333375,0.022555555666666643,0.058099999888888844,0.17801111111111115,0.2277888886666667,0.03336666666666669,0.12415555555555557
DIR + GFC + EOP,0.648225,0.5211833334166667,0.23750833325,0.852875,0.044775000083333384,0.07473333316666662,0.05731666666666663,0.2087500000833334,0.1669833331666667,0.04948333325000004,0.07191666658333332
DIR + GFC + CEOP,0.6567583333333333,0.445825,0.23497499999999996,0.9551333334166667,0.04273333333333334,0.18672500008333334,0.07224166658333339,0.07182500008333335,0.2275083335,0.07928333350000004,0.23724999999999996
DIR + GFC + ROC,0.653975,0.37361666675,0.3370833333333333,0.9573083334166667,0.05437499999999999,0.03250833333333339,0.013041666750000097,0.10248333341666666,0.16316666675000002,0.04959166649999998,0.1143083335
DIR + PR + EOP,0.7711000000833333,0.6617666666666666,0.13543333341666663,0.8700916666666667,0.04456666666666663,0.06165000008333334,0.08885833316666664,0.11660000000000001,0.17559166650000002,0.052691666666666595,0.12139166650000002
DIR + PR + CEOP,0.7804333334166667,0.6017249999166666,0.14401666674999997,0.8981,0.13299166674999996,0.26814166675,0.08345833325000002,0.08313333325,0.15125000008333334,0.16124166674999996,0.30184166658333333
DIR + PR + ROC,0.6074083334166667,0.5973916665833333,0.14006666666666664,0.8607833333333333,0.09149166683333329,0.04549166650000001,0.09394166658333337,0.10982499991666661,0.20387499999999997,0.03883333325000003,0.1524833333333333
DIR + EGR + EOP,0.75791666675,0.6313916666666667,0.14893333341666665,0.8599,0.023483333249999995,0.03970833341666668,0.08290000008333329,0.14730833333333335,0.21023333333333327,0.03810000008333331,0.11408333316666666
DIR + EGR + CEOP,0.7728166667499999,0.57591666675,0.14069166674999997,0.9166083333333334,0.06510000000000007,0.17405000008333335,0.0965666665833333,0.09676666666666668,0.10183333324999995,0.11784166674999993,0.2088250001666667
DIR + EGR + ROC,0.7853,0.68339166675,0.13002499999999997,0.8971499999166667,0.0643166665833334,0.10675000008333332,0.1055500000833334,0.11384999999999997,0.12710833333333338,0.07240000016666662,0.12622499991666664
DIR + GSR + EOP,0.7621749999166667,0.5802583333333333,0.15459166666666666,0.8656583333333333,0.022591666500000007,0.026208333499999993,0.08534166666666668,0.13432500016666665,0.22802499983333333,0.04501666666666668,0.10261666666666668
DIR + GSR + CEOP,0.77355833325,0.5647333333333333,0.14009999999999997,0.9226416666666666,0.12278333324999999,0.26065833341666667,0.07560000008333337,0.08651666658333333,0.17164166675000003,0.16800833333333337,0.30114166666666675
DIR + GSR + ROC,0.68609166675,0.6314166667500001,0.1464166665833333,0.8689916665833334,0.08629999983333334,0.07825833316666662,0.06739166675000005,0.11315833325000005,0.21830000008333333,0.03975000008333336,0.14226666675000008
